animal,folder
badger,data/animals/badger
bat,data/animals/bat
bear,data/animals/bear
bee,data/animals/bee
beetle,data/animals/beetle
bison,data/animals/bison
boar,data/animals/boar
butterfly,data/animals/butterfly
cat,data/animals/cat
caterpillar,data/animals/caterpillar
chimpanzee,data/animals/chimpanzee
cockroach,data/animals/cockroach
cow,data/animals/cow
coyote,data/animals/coyote
crab,data/animals/crab
crow,data/animals/crow
deer,data/animals/deer
dog,data/animals/dog
dolphin,data/animals/dolphin
donkey,data/animals/donkey
dragonfly,data/animals/dragonfly
duck,data/animals/duck
eagle,data/animals/eagle
elephant,data/animals/elephant
flamingo,data/animals/flamingo
fly,data/animals/fly
fox,data/animals/fox
goat,data/animals/goat
goldfish,data/animals/goldfish
goose,data/animals/goose
gorilla,data/animals/gorilla
grasshopper,data/animals/grasshopper
hamster,data/animals/hamster
hare,data/animals/hare
hedgehog,data/animals/hedgehog
hippopotamus,data/animals/hippopotamus
hornbill,data/animals/hornbill
horse,data/animals/horse
hummingbird,data/animals/hummingbird
hyena,data/animals/hyena
jellyfish,data/animals/jellyfish
kangaroo,data/animals/kangaroo
koala,data/animals/koala
ladybugs,data/animals/ladybugs
leopard,data/animals/leopard
lion,data/animals/lion
lizard,data/animals/lizard
lobster,data/animals/lobster
mosquito,data/animals/mosquito
moth,data/animals/moth
mouse,data/animals/mouse
octopus,data/animals/octopus
okapi,data/animals/okapi
orangutan,data/animals/orangutan
otter,data/animals/otter
owl,data/animals/owl
ox,data/animals/ox
oyster,data/animals/oyster
panda,data/animals/panda
parrot,data/animals/parrot
pelecaniformes,data/animals/pelecaniformes
penguin,data/animals/penguin
pig,data/animals/pig
pigeon,data/animals/pigeon
porcupine,data/animals/porcupine
possum,data/animals/possum
raccoon,data/animals/raccoon
rat,data/animals/rat
reindeer,data/animals/reindeer
rhinoceros,data/animals/rhinoceros
sandpiper,data/animals/sandpiper
seahorse,data/animals/seahorse
seal,data/animals/seal
shark,data/animals/shark
sheep,data/animals/sheep
snake,data/animals/snake
sparrow,data/animals/sparrow
squid,data/animals/squid
squirrel,data/animals/squirrel
starfish,data/animals/starfish
swan,data/animals/swan
tiger,data/animals/tiger
turkey,data/animals/turkey
turtle,data/animals/turtle
whale,data/animals/whale
wolf,data/animals/wolf
wombat,data/animals/wombat
woodpecker,data/animals/woodpecker
zebra,data/animals/zebra
